route_path,city,route_family,index_state,stage,review_priority,move_trigger,next_action,next_review_on,notes
/fl/miami/hood-cleaning-requirements,Miami,hood_requirements,indexable,S2_OPTIMIZE,P2,hood cluster signal or CTA clicks,add_internal_links,2026-04-19,Support Tier A hood route for Miami
/fl/miami/restaurant-fire-inspection-checklist,Miami,inspection_checklist,indexable,S1_WATCH,P3,seasonal inspection demand or CTA clicks,watch,2026-04-26,Core Tier A inspection page for Miami
/tn/nashville/approved-grease-haulers,Nashville,approved_haulers,indexable,S1_WATCH,P3,authority list change or grease demand signal,watch,2026-04-26,Maintain authority-backed list evidence
/tn/nashville/find-grease-service,Nashville,find_grease_service,indexable,S1_WATCH,P3,outbound clicks or grease demand signal,watch,2026-04-26,Watch until demand justifies route-specific optimization
/tn/nashville/find-hood-cleaner,Nashville,find_hood_cleaner,indexable,S1_WATCH,P3,outbound clicks or hood demand signal,watch,2026-04-26,Watch until signal appears
/tn/nashville/restaurant-grease-trap-rules,Nashville,fog_rules,indexable,S1_WATCH,P3,impressions or clicks signal,watch,2026-04-26,Keep source-safe while demand matures
/tn/nashville/hood-cleaning-requirements,Nashville,hood_requirements,indexable,S1_WATCH,P3,hood demand signal or CTA clicks,watch,2026-04-26,Maintain paperwork copy discipline
/tn/nashville/restaurant-fire-inspection-checklist,Nashville,inspection_checklist,indexable,S1_WATCH,P3,seasonal inspection demand or CTA clicks,watch,2026-04-26,Keep source-safe while demand matures
/or/portland/approved-grease-haulers,Portland,approved_haulers,indexable,S1_WATCH,P3,authority list change or grease demand signal,watch,2026-04-26,Maintain preferred-pumper evidence quality
/or/portland/find-grease-service,Portland,find_grease_service,indexable,S1_WATCH,P3,outbound clicks or grease demand signal,watch,2026-04-26,Watch until demand justifies route-specific SEO work
/or/portland/find-hood-cleaner,Portland,find_hood_cleaner,indexable,S1_WATCH,P3,outbound clicks or hood demand signal,watch,2026-04-26,Watch until signal appears
/or/portland/restaurant-grease-trap-rules,Portland,fog_rules,indexable,S1_WATCH,P3,impressions or clicks signal,watch,2026-04-26,Keep source-safe while demand matures
/or/portland/hood-cleaning-requirements,Portland,hood_requirements,indexable,S1_WATCH,P3,hood demand signal or CTA clicks,watch,2026-04-26,Maintain paperwork copy discipline
/or/portland/restaurant-fire-inspection-checklist,Portland,inspection_checklist,indexable,S1_WATCH,P3,seasonal inspection demand or CTA clicks,watch,2026-04-26,Keep source-safe while demand matures
/ca/santa-clara/approved-grease-haulers,Santa Clara,approved_haulers,indexable,S1_WATCH,P3,authority list change or grease demand signal,watch,2026-04-26,Maintain local hauler evidence quality
/ca/santa-clara/find-grease-service,Santa Clara,find_grease_service,indexable,S1_WATCH,P3,outbound clicks or grease demand signal,watch,2026-04-26,Watch until demand justifies route-specific optimization
/ca/santa-clara/find-hood-cleaner,Santa Clara,find_hood_cleaner,indexable,S1_WATCH,P3,outbound clicks or hood demand signal,watch,2026-04-26,Watch until signal appears
/ca/santa-clara/restaurant-grease-trap-rules,Santa Clara,fog_rules,indexable,S1_WATCH,P3,impressions or clicks signal,watch,2026-04-26,Keep source-safe while demand matures
/ca/santa-clara/hood-cleaning-requirements,Santa Clara,hood_requirements,indexable,S1_WATCH,P3,hood demand signal or CTA clicks,watch,2026-04-26,Maintain paperwork copy discipline
/ca/santa-clara/restaurant-fire-inspection-checklist,Santa Clara,inspection_checklist,indexable,S1_WATCH,P3,seasonal inspection demand or CTA clicks,watch,2026-04-26,Keep source-safe while demand matures
/fl/tampa/approved-grease-haulers,Tampa,approved_haulers,indexable,S1_WATCH,P3,authority list change or grease demand signal,watch,2026-04-26,Maintain local hauler evidence quality
/fl/tampa/find-grease-service,Tampa,find_grease_service,indexable,S1_WATCH,P3,outbound clicks or grease demand signal,watch,2026-04-26,Watch until demand justifies route-specific optimization
/fl/tampa/find-hood-cleaner,Tampa,find_hood_cleaner,indexable,S1_WATCH,P3,outbound clicks or hood demand signal,watch,2026-04-26,Watch until signal appears
/fl/tampa/restaurant-grease-trap-rules,Tampa,fog_rules,indexable,S1_WATCH,P3,impressions or clicks signal,watch,2026-04-26,Keep source-safe while demand matures
/fl/tampa/hood-cleaning-requirements,Tampa,hood_requirements,indexable,S1_WATCH,P3,hood demand signal or CTA clicks,watch,2026-04-26,Maintain paperwork copy discipline
/fl/tampa/restaurant-fire-inspection-checklist,Tampa,inspection_checklist,indexable,S1_WATCH,P3,seasonal inspection demand or CTA clicks,watch,2026-04-26,Keep source-safe while demand matures
